"specimen","speedBL","alpha"
"0.5BL","se","44.1897983478788"
"0.5BL","se","44.2664372672944"
"0.5BL","se","44.3947627132808"
"0.5BL","se","44.5161902078273"
"0.5BL","se","44.5864468824064"
"0.5BL","se","44.7515634959368"
"0.5BL","se","44.7658980497268"
"0.5BL","se","44.704445667649"
"0.5BL","se","44.8407731349438"
"0.5BL","se","44.8912758565985"
"0.5BL","se","45.2151729828525"
"0.5BL","se","45.4343333421611"
"0.5BL","se","45.5929101056504"
"0.5BL","se","45.8689937461206"
"0.5BL","se","46.0707264334695"
"0.5BL","se","46.4312578782113"
"0.5BL","se","46.8366030682787"
"0.5BL","se","47.2071800755134"
"0.5BL","se","47.4604460605386"
"0.5BL","se","47.9449394525337"
"0.5BL","se","48.1248632402093"
"0.5BL","se","48.3812575258464"
"0.5BL","se","48.6543209681858"
"0.5BL","se","48.9434609830228"
"0.5BL","se","49.1594435354318"
"0.5BL","se","49.2495465917924"
"0.5BL","se","49.2895575500756"
"0.5BL","se","49.0979048105058"
"0.5BL","se","48.8500089483049"
"0.5BL","se","48.8226433896194"
"0.75BL","se","47.9527571009091"
"0.75BL","se","47.8499852606944"
"0.75BL","se","47.7101223832634"
"0.75BL","se","47.5225463748799"
"0.75BL","se","47.2900701356798"
"0.75BL","se","47.1797539893367"
"0.75BL","se","47.0981895934418"
"0.75BL","se","47.0201676206032"
"0.75BL","se","46.9428894778063"
"0.75BL","se","46.8101444398481"
"0.75BL","se","46.6716613620218"
"0.75BL","se","46.6088990019902"
"0.75BL","se","46.5398600199781"
"0.75BL","se","46.5179487079126"
"0.75BL","se","46.6014096410794"
"0.75BL","se","46.7578759234998"
"0.75BL","se","46.8230651762842"
"0.75BL","se","46.8389813003397"
"0.75BL","se","46.7906768527895"
"0.75BL","se","47.0701205650613"
"0.75BL","se","47.1247519540116"
"0.75BL","se","47.2159611164565"
"0.75BL","se","47.3645528005982"
"0.75BL","se","47.4801547930491"
"0.75BL","se","47.522895748021"
"0.75BL","se","47.3857567324324"
"0.75BL","se","47.3198356300994"
"0.75BL","se","47.405340003924"
"0.75BL","se","47.4433310072681"
"0.75BL","se","47.4500556112336"
"0.75BL","se","47.4378887982524"
"0.75BL","se","47.6188441653475"
"0.75BL","se","47.7320202683849"
"0.75BL","se","47.7659816387722"
"0.75BL","se","47.8344565966884"
"0.75BL","se","47.7180810974233"
"0.75BL","se","47.6834870316277"
"0.75BL","se","47.6582403038026"
"0.75BL","se","47.3692999640804"
"0.75BL","se","47.3037479575729"
"0.75BL","se","47.1282086406056"
"0.75BL","se","46.9441574398772"
"0.75BL","se","46.8642318973739"
"0.75BL","se","46.8058477897843"
"0.75BL","se","46.6967441581772"
"0.75BL","se","46.5113809802876"
"0.75BL","se","46.4890847363106"
"1.25BL","se","48.2312239924163"
"1.25BL","se","48.0444918241332"
"1.25BL","se","47.934820315392"
"1.25BL","se","47.7560358012531"
"1.25BL","se","47.634311966077"
"1.25BL","se","47.6264925312537"
